"Item_Identifier","Outlet_Identifier","Item_Outlet_Sales"
"FDW58","OUT049",1825.60795357223
"FDW14","OUT017",1562.36350291244
"NCN55","OUT010",1892.6173502358
"FDQ58","OUT017",2565.52886633939
"FDY38","OUT027",5195.81528133748
"FDH56","OUT046",1922.69959025256
"FDL48","OUT018",603.172250208913
"FDC48","OUT027",2762.30037540402
"FDN33","OUT045",1522.0541698328
"FDA36","OUT017",3061.2036957456
"FDT44","OUT017",1994.72114415756
"FDQ56","OUT045",1310.59962431093
"NCC54","OUT019",1888.67399457391
"FDU11","OUT049",2050.39361968632
"DRL59","OUT013",890.486465509855
"FDM24","OUT049",2557.05866583451
"FDI57","OUT045",3074.73675006279
"DRC12","OUT018",2763.92249290217
"NCM42","OUT027",3207.77666158157
"FDA46","OUT010",1145.17498214322
"FDA31","OUT013",2803.86561530028
"NCJ31","OUT035",3927.32656427174
"FDG52","OUT046",792.408196038374
"NCL19","OUT019",362.793244930995
"FDS10","OUT035",3006.4421925541
"FDX22","OUT010",1441.05717921978
"NCF19","OUT035",935.139272158781
"NCE06","OUT046",2560.64036784088
"DRC27","OUT046",3856.53573864127
"FDE21","OUT035",2007.84529798792
"NCR42","OUT019",0
"FDX51","OUT018",2856.72027854333
"NCR06","OUT018",433.113143601687
"FDU31","OUT027",4939.42058955287
"FDU59","OUT017",2708.99861801934
"FDR03","OUT027",4742.55965235857
"FDS49","OUT027",2751.49020064724
"FDD48","OUT010",0
"NCF18","OUT017",3143.01126464479
"NCD43","OUT027",3109.83784744946
"NCD54","OUT018",2004.03317632741
"FDY19","OUT010",0
"NCY54","OUT017",2859.71560545305
"NCL19","OUT018",2026.87955026647
"FDP23","OUT010",1510.85076986433
"FDC26","OUT013",1826.47832094775
"FDR14","OUT010",0
"NCS41","OUT035",3045.79010844342
"FDF41","OUT035",4055.31853551409
"FDU34","OUT046",1992.98483536216
"DRH11","OUT046",937.4338162786
"FDM03","OUT013",1740.98645529783
"FDS31","OUT017",3020.39904811606
"FDJ20","OUT017",2107.21311403466
"FDV44","OUT027",4487.72082913423
"FDG02","OUT049",3085.18624043871
"FDA09","OUT013",2926.71655805169
"FDT04","OUT013",678.147747877951
"FDL58","OUT019",2294.36939463458
"FDE52","OUT045",1435.04688820517
"FDW12","OUT035",2498.46000406832
"FDL51","OUT017",3548.70666470546
"NCY42","OUT027",3700.29930128467
"FDR07","OUT017",1659.6306205943
"FDN40","OUT045",2357.83919354551
"FDB35","OUT027",2957.7045808581
"FDA22","OUT017",2733.27950277097
"NCL06","OUT046",4134.71259026971
"FDI35","OUT013",2901.19141721964
"NCW42","OUT045",3430.54521937465
"NCX06","OUT049",2949.49583156013
"FDC37","OUT027",3184.47908576003
"FDZ14","OUT018",1727.63268782699
"DRG49","OUT049",3963.159757264
"NCG06","OUT045",3969.17135625578
"DRC36","OUT045",2735.03730505621
"FDV21","OUT019",90.8803201262131
"FDB53","OUT046",2362.26401466887
"DRP47","OUT019",2075.66761335896
"FDA14","OUT013",2339.71890639945
"DRC24","OUT035",2570.3011177382
"FDW21","OUT018",1389.38997456063
"NCH29","OUT046",1564.62310334762
"FDU58","OUT013",3067.11502519366
"FDY27","OUT017",2917.16138443547
"FDV56","OUT035",1940.13968295125
"FDT59","OUT046",3636.94978525561
"FDB23","OUT046",3608.59208610826
"FDR49","OUT045",701.427295169875
"FDB03","OUT010",1950.77527825102
"FDN39","OUT045",2611.75339207724
