"Item_Identifier","Outlet_Identifier","Item_Outlet_Sales"
"FDW58","OUT049",1843.62431320862
"FDW14","OUT017",1529.92418386606
"NCN55","OUT010",1910.6471561408
"FDQ58","OUT017",2583.62803581778
"FDY38","OUT027",5163.4403602128
"FDH56","OUT046",1890.24679895915
"FDL48","OUT018",570.492213802849
"FDC48","OUT027",2779.94233518221
"FDN33","OUT045",1488.92205798221
"FDA36","OUT017",3079.37809706075
"FDT44","OUT017",2012.73367838472
"FDQ56","OUT045",1327.82165011376
"NCC54","OUT019",1906.27697830584
"FDU11","OUT049",2068.44409652523
"DRL59","OUT013",907.897055375066
"FDM24","OUT049",2524.79981106395
"FDI57","OUT045",3092.22653058783
"DRC12","OUT018",2781.95663930974
"NCM42","OUT027",3225.48623423266
"FDA46","OUT010",1163.09134379227
"FDA31","OUT013",2821.56661133362
"NCJ31","OUT035",3945.10639431873
"FDG52","OUT046",810.170084472138
"NCL19","OUT019",380.16463568169
"FDS10","OUT035",3024.08225390877
"FDX22","OUT010",1408.6322173567
"NCF19","OUT035",952.464958213497
"NCE06","OUT046",2578.67063252899
"DRC27","OUT046",3874.76268991341
"FDE21","OUT035",2025.33379570833
"NCR42","OUT019",0
"FDX51","OUT018",2824.38227797876
"NCR06","OUT018",450.793527707717
"FDU31","OUT027",4907.00675371545
"FDU59","OUT017",2727.11956284781
"FDR03","OUT027",4710.11593763884
"FDS49","OUT027",2769.13051969394
"FDD48","OUT010",0
"NCF18","OUT017",3161.19808243401
"NCD43","OUT027",3127.53255528104
"NCD54","OUT018",2021.95198932359
"FDY19","OUT010",0
"NCY54","OUT017",2877.85942559235
"NCL19","OUT018",2044.80183080745
"FDP23","OUT010",1528.82263253851
"FDC26","OUT013",1844.03097246768
"FDR14","OUT010",0
"NCS41","OUT035",3063.4361418907
"FDF41","OUT035",4073.11779174638
"FDU34","OUT046",2010.92894322766
"DRH11","OUT046",955.217716206875
"FDM03","OUT013",1758.52613115369
"FDS31","OUT017",2988.18102473695
"FDJ20","OUT017",2074.85649040586
"FDV44","OUT027",4455.2384358462
"FDG02","OUT049",3103.39377457587
"FDA09","OUT013",2894.04996847867
"FDT04","OUT013",695.526109696076
"FDL58","OUT019",2261.64772192818
"FDE52","OUT045",1401.90157068583
"FDW12","OUT035",2465.63673411334
"FDL51","OUT017",3516.56882605635
"NCY42","OUT027",3718.0836273439
"FDR07","OUT017",1677.59229592352
"FDN40","OUT045",2375.22016580202
"FDB35","OUT027",2924.98996691695
"FDA22","OUT017",2751.4041328694
"NCL06","OUT046",4152.98176227659
"FDI35","OUT013",2918.90718503158
"NCW42","OUT045",3448.08900329685
"NCX06","OUT049",2967.68277106935
"FDC37","OUT027",3202.18512238444
"FDZ14","OUT018",1695.12331819491
"DRG49","OUT049",3981.50054723013
"NCG06","OUT045",3986.79689101784
"DRC36","OUT045",2702.08929565303
"FDV21","OUT019",108.210440859638
"FDB53","OUT046",2380.26417047
"DRP47","OUT019",2093.29897834522
"FDA14","OUT013",2357.34945582674
"DRC24","OUT035",2587.87498308654
"FDW21","OUT018",1356.82926760198
"NCH29","OUT046",1582.50219592894
"FDU58","OUT013",3034.46974482162
"FDY27","OUT017",2935.31392349938
