"","movieId","title","year","Adventure","Comedy","Action","Drama","Crime","Children","Mystery","Documentary","Animation","Thriller","Horror","Fantasy","Western","Film-Noir","Romance","War","Sci-Fi","Musical","IMAX","(no genres listed)","NA"
"1",1,1,"Toy Story ","1995",1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"2",2,2,"Jumanji ","1995",1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"3",3,3,"Grumpier Old Men ","1995",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"4",4,4,"Waiting to Exhale ","1995",0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"5",5,5,"Father of the Bride Part II ","1995",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",6,6,"Heat ","1995",0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"7",7,7,"Sabrina ","1995",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"8",8,8,"Tom and Huck ","1995",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",9,9,"Sudden Death ","1995",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",10,10,"GoldenEye ","1995",1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"11",11,11,"American President, The ","1995",0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"12",12,12,"Dracula: Dead and Loving It ","1995",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"13",13,13,"Balto ","1995",1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"14",14,14,"Nixon ","1995",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",15,15,"Cutthroat Island ","1995",1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"16",16,16,"Casino ","1995",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",17,17,"Sense and Sensibility ","1995",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"18",18,18,"Four Rooms ","1995",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",19,19,"Ace Ventura: When Nature Calls ","1995",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",20,20,"Money Train ","1995",0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"21",21,21,"Get Shorty ","1995",0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"22",22,22,"Copycat ","1995",0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"23",23,23,"Assassins ","1995",0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"24",24,24,"Powder ","1995",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"25",25,25,"Leaving Las Vegas ","1995",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"26",26,26,"Othello ","1995",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27",27,27,"Now and Then ","1995",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28",28,28,"Persuasion ","1995",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
